"key","marathi","english_gloss","screen","source"
"s11.mark_sold","विकले गेले म्हणून नोंद करा","Mark as sold","S-11","doc10 §3"
"s11.sold_confirm","विकले गेले म्हणून नोंद करायची का? हे परत बदलता येणार नाही.","Mark sold? Cannot be undone.","S-11","doc06 §6"
"s11.renew","30 दिवसांसाठी पुन्हा सुरू करा","Renew for 30 days","S-11","doc06 §6"
"s11.fix_resend","दुरुस्त करून पुन्हा पाठवा","Fix and resend","S-11","doc10 §3"
"s11.archive_confirm","काढून टाकल्यावर जाहिरात परत सुरू करता येणार नाही.","After removing it cannot be reopened","S-11","doc10 §3"
"s12.warning","बदल केल्यास जाहिरात पुन्हा तपासणीत जाईल","Changes send the listing back to review","S-12","doc06 §6"
"s12.price_saved","किंमत बदलली","Price updated","S-12","doc10 §3"
"s13.empty","अजून एकही जाहिरात जतन केलेली नाही. आवडलेल्या जाहिरातीवर जतन दाबा.","Nothing saved yet","S-13","doc10 §3"
"s14.empty","अजून सूचना नाहीत.","No notifications yet","S-14","doc10 §3"
"s15.phone_fixed","फोन नंबर बदलता येत नाही","Phone number cannot be changed","S-15","doc10 §3"
"s15.logout","बाहेर पडा","Log out","S-15","doc10 §3"
"s15.logout_confirm","बाहेर पडायचे का?","Log out?","S-15","doc10 §3"
"s17.success","तुमची तक्रार नोंदवली आहे. आम्ही लवकरच तपासू.","Complaint recorded, we will check soon","S-17","doc06 §6"
"s17.duplicate","तुमची तक्रार आधीच नोंदवली आहे","Complaint already recorded","S-17","doc06 §6"
"global.offline","इंटरनेट नाही — जुनी माहिती दाखवत आहोत","No internet — showing older data","global","doc10 §3"
"global.banned","तुमचे खाते बंद करण्यात आले आहे.","Your account has been suspended.","banned","doc10 §3"
"status.draft","अपूर्ण","Draft","badges","doc10 §4"
"status.pending","तपासणीत","In review","badges","doc10 §4"
"status.approved","चालू","Live","badges","doc10 §4"
"status.rejected","नाकारली","Rejected","badges","doc10 §4"
"status.sold","विकले गेले","Sold","badges","doc10 §4"
"status.expired","मुदत संपली","Expired","badges","doc10 §4"
"status.archived","बंद","Archived","badges","doc10 §4"
